Country,Year,Life_expectancy_at_birth,Expected_years_of_schooling,Average_of_years_of_schooling,GNI_per_capita_PPP,life_expectancy_index,Education_Index,GNI_Index,HDI_1,HDI_calculated,HDI_3
Saint Lucia,2010,74.852,13.1,8.40,11190.00,0.84,0.67,0.71,0.73,0.74,0.73
Saint Lucia,2009,74.712,12.9,7.90,11070.00,0.84,0.65,0.71,,0.73,0.72
Saint Lucia,2008,74.571,12.8,7.80,11050.00,0.84,0.64,0.71,,0.73,0.72
Saint Lucia,2007,74.426,12.6,7.70,10500.00,0.84,0.63,0.70,,0.72,0.71
Saint Lucia,2006,74.276,12.8,7.60,10210.00,0.84,0.64,0.70,,0.72,0.71
Saint Lucia,2005,74.122,12.4,7.50,8580.00,0.83,0.62,0.67,,0.70,0.70
Saint Lucia,2004,73.966,12.2,7.40,8430.00,0.83,0.61,0.67,,0.70,0.70
Saint Lucia,2003,73.808,12.3,7.30,7820.00,0.83,0.61,0.66,,0.69,0.69
Saint Lucia,2002,73.648,12.4,7.20,7500.00,0.83,0.61,0.65,,0.69,0.69
Saint Lucia,2001,73.486,12.5,7.10,7300.00,0.82,0.61,0.65,,0.69,0.69
Saint Lucia,2000,73.319,12.6,7.00,7590.00,0.82,0.61,0.65,,0.69,0.69
Saint Lucia,1999,73.144,12.8,,7750.00,0.82,0.93,0.66,,0.79,
Saint Lucia,1998,72.958,12.9,,7510.00,0.81,0.93,0.65,,0.79,
Saint Lucia,1997,72.759,13,,7100.00,0.81,0.93,0.64,,0.79,
Saint Lucia,1996,72.547,13.1,,7140.00,0.81,0.94,0.64,,0.79,
Saint Lucia,1995,72.323,13.3,,6780.00,0.80,0.94,0.64,,0.78,
Saint Lucia,1994,72.087,13.4,,6650.00,0.80,0.95,0.63,,0.78,
Saint Lucia,1993,71.843,13.5,,6460.00,0.80,0.95,0.63,,0.78,
Saint Lucia,1992,71.592,13.2,,6420.00,0.79,0.94,0.63,,0.78,
Saint Lucia,1991,71.335,12.9,,5820.00,0.79,0.93,0.61,,0.77,
Saint Lucia,1990,71.074,12.6,,5700.00,0.79,0.92,0.61,,0.76,
Saint Kitts and Nevis,2017,75.91,14.4,8.40,24090.00,0.86,0.71,0.83,0.77,0.80,0.78
Saint Kitts and Nevis,2016,75.73,14.2,8.40,23420.00,0.86,0.71,0.82,0.77,0.79,0.77
Saint Kitts and Nevis,2015,75.532,14.2,8.40,22240.00,0.85,0.71,0.82,0.77,0.79,0.77
Saint Kitts and Nevis,2014,75.314,14.2,8.40,22180.00,0.85,0.71,0.82,,0.79,0.77
Saint Kitts and Nevis,2013,75.078,14,8.30,21770.00,0.85,0.70,0.81,0.77,0.78,0.76
Saint Kitts and Nevis,2012,74.829,13.7,8.10,20850.00,0.84,0.68,0.81,,0.77,0.76
Saint Kitts and Nevis,2011,74.568,13.5,8.00,21940.00,0.84,0.67,0.81,,0.77,0.75
Saint Kitts and Nevis,2018,74.56,13.61,8.50,26770.07,0.84,0.69,0.84,0.78,0.79,0.78
Saint Kitts and Nevis,2010,74.305,13.3,7.80,21250.00,0.84,0.66,0.81,0.75,0.76,0.75
Saint Kitts and Nevis,2009,74.051,13,7.70,21690.00,0.83,0.65,0.81,,0.76,0.74
Saint Kitts and Nevis,2008,73.808,12.9,7.60,22500.00,0.83,0.64,0.82,,0.76,0.74
Saint Kitts and Nevis,2007,73.573,12.9,7.40,20910.00,0.82,0.64,0.81,,0.75,0.73
Saint Kitts and Nevis,2006,73.338,12.9,7.30,20420.00,0.82,0.63,0.80,,0.75,0.73
Saint Kitts and Nevis,2005,73.077,12.9,7.20,19220.00,0.82,0.63,0.79,,0.74,0.73
Saint Kitts and Nevis,2004,72.758,12.9,,16950.00,0.81,0.93,0.78,,0.84,
Saint Kitts and Nevis,2003,72.366,12.9,,15780.00,0.81,0.93,0.76,,0.83,
Saint Kitts and Nevis,2002,71.899,12.9,,16490.00,0.80,0.93,0.77,,0.83,
Saint Kitts and Nevis,2001,71.375,12.9,,16110.00,0.79,0.93,0.77,,0.83,
Saint Kitts and Nevis,2000,70.832,12.9,,15170.00,0.78,0.93,0.76,,0.82,
Saint Kitts and Nevis,1999,70.322,13,,14310.00,0.77,0.93,0.75,,0.82,
Saint Kitts and Nevis,1998,69.889,13,,13850.00,0.77,0.93,0.74,,0.81,
Saint Kitts and Nevis,1997,69.559,13,,14080.00,0.76,0.93,0.75,,0.81,
Saint Kitts and Nevis,1996,69.335,13,,13150.00,0.76,0.93,0.74,,0.81,
Saint Kitts and Nevis,1995,69.198,13,,12470.00,0.76,0.93,0.73,,0.80,
Saint Kitts and Nevis,1994,69.110,13,,11610.00,0.76,0.93,0.72,,0.80,
Saint Kitts and Nevis,1993,69.023,13,,10910.00,0.75,0.93,0.71,,0.79,
Saint Kitts and Nevis,1992,68.896,12.9,,10100.00,0.75,0.93,0.70,,0.79,
Saint Kitts and Nevis,1991,68.716,12.8,,9660.00,0.75,0.93,0.69,,0.78,
Saint Kitts and Nevis,1990,68.480,12.7,,9670.00,0.75,0.92,0.69,,0.78,
Rwanda,2018,68.70,11.17,4.42,1958.61,0.75,0.49,0.45,0.54,0.55,0.54
Rwanda,2017,68.341,11.2,4.10,1910.00,0.74,0.49,0.45,0.53,0.54,0.52
Rwanda,2016,67.93,11.2,4.10,1790.00,0.74,0.49,0.44,0.52,0.54,0.52
Rwanda,2015,67.45,10.8,4.00,1710.00,0.73,0.47,0.43,0.51,0.53,0.51
Rwanda,2014,66.884,11.2,4.00,1620.00,0.72,0.48,0.42,,0.53,0.51
Rwanda,2013,66.219,11.3,3.80,1480.00,0.71,0.48,0.41,0.51,0.52,0.50
Rwanda,2012,65.438,11.5,3.70,1430.00,0.70,0.49,0.40,,0.51,0.50
Rwanda,2011,64.523,11.3,3.80,1390.00,0.68,0.48,0.40,,0.51,0.49
Rwanda,2010,63.433,11.1,3.80,1290.00,0.67,0.48,0.39,0.49,0.50,0.49
Rwanda,2009,62.129,11,3.30,1220.00,0.65,0.46,0.38,,0.48,0.47
Rwanda,2008,60.612,10.3,3.20,1170.00,0.62,0.43,0.37,,0.46,0.46
Rwanda,2007,58.915,10.5,3.10,1070.00,0.60,0.44,0.36,,0.45,0.45
Rwanda,2006,57.083,10.2,2.90,980.00,0.57,0.42,0.34,,0.44,0.43
Rwanda,2005,55.254,9.4,2.80,880.00,0.54,0.39,0.33,,0.41,0.41
Rwanda,2004,53.595,8.9,2.70,790.00,0.52,0.37,0.31,,0.39,0.39
Rwanda,2003,52.178,8.3,2.60,730.00,0.50,0.35,0.30,,0.37,0.37
Rwanda,2002,50.987,7.7,2.50,710.00,0.48,0.33,0.30,,0.36,0.36
Rwanda,2001,49.936,7.3,2.40,630.00,0.46,0.31,0.28,,0.34,0.35
Rwanda,2000,48.649,7.2,2.30,600.00,0.44,0.30,0.27,,0.33,0.34
Rwanda,1999,46.639,6.8,2.20,570.00,0.41,0.29,0.26,,0.31,0.32
Rwanda,1998,43.686,6.2,2.10,600.00,0.36,0.27,0.27,,0.30,0.30
Rwanda,1997,39.838,6.4,2.10,590.00,0.31,0.27,0.27,,0.28,0.29
Rwanda,1996,35.380,6.3,2.00,540.00,0.24,0.27,0.25,,0.25,0.26
Rwanda,1990,33.413,5.7,1.76,540.00,0.21,0.24,0.25,,0.23,0.25
Rwanda,1995,31.037,6.2,2.00,490.00,0.17,0.26,0.24,,0.22,0.23
Rwanda,1991,29.248,5.8,1.80,560.00,0.14,0.24,0.26,,0.21,0.23
Rwanda,1994,27.738,6.1,1.90,350.00,0.12,0.26,0.19,,0.18,0.20
Rwanda,1992,26.691,5.9,1.80,640.00,0.10,0.25,0.28,,0.19,0.21
Rwanda,1993,26.172,6,1.90,650.00,0.09,0.25,0.28,,0.19,0.21
Russia,2018,72.39,15.54,12.02,25036.02,0.81,0.85,0.83,0.82,0.83,0.82
Russia,2017,72.139,15.5,12.00,25380.00,0.80,0.85,0.84,0.82,0.83,0.82
Russia,2016,71.835,15.5,12.00,23570.00,0.80,0.85,0.83,0.82,0.82,0.82
Russia,2015,71.464,15.4,12.00,23420.00,0.79,0.85,0.82,0.81,0.82,0.81
Russia,2014,71.018,15,11.90,24920.00,0.78,0.83,0.83,,0.82,0.81
Russia,2013,70.508,14.9,11.80,25220.00,0.78,0.82,0.84,0.80,0.81,0.80
Russia,2012,69.944,14.6,11.70,23580.00,0.77,0.81,0.83,,0.80,0.80
Russia,2011,69.343,14.3,11.60,22190.00,0.76,0.80,0.82,,0.79,0.79
Russia,2010,68.715,14,11.50,19860.00,0.75,0.79,0.80,0.78,0.78,0.78
Russia,2009,68.07,13.7,11.50,18760.00,0.74,0.78,0.79,,0.77,0.77
Russia,1990,68.047,12.8,8.91,7990.00,0.74,0.67,0.66,,0.69,0.73
Russia,1991,67.561,12.7,9.40,7820.00,0.73,0.68,0.66,,0.69,0.73
Russia,2008,67.426,14,11.40,19600.00,0.73,0.78,0.80,,0.77,0.77
Russia,1992,67.069,12.4,9.50,6790.00,0.72,0.68,0.64,,0.68,0.72
Russia,2007,66.807,13.9,11.40,16280.00,0.72,0.78,0.77,,0.76,0.77
Russia,1993,66.632,12,9.70,6350.00,0.72,0.67,0.63,,0.67,0.71
Russia,1994,66.279,11.8,9.90,5710.00,0.71,0.67,0.61,,0.66,0.70
Russia,2006,66.238,13.8,11.40,14480.00,0.71,0.78,0.75,,0.75,0.76
Russia,1995,66.009,11.8,10.00,5570.00,0.71,0.67,0.61,,0.66,0.70
Russia,1996,65.798,11.9,10.30,5440.00,0.70,0.68,0.60,,0.66,0.70
Russia,2005,65.752,13.8,11.40,11540.00,0.70,0.78,0.72,,0.73,0.75
Russia,1997,65.608,11.9,10.60,5580.00,0.70,0.69,0.61,,0.67,0.70
Russia,1998,65.417,12,10.80,5230.00,0.70,0.70,0.60,,0.66,0.70
Russia,2004,65.38,13.7,11.40,10010.00,0.70,0.77,0.70,,0.72,0.75
Russia,1999,65.234,12.1,11.10,5680.00,0.70,0.71,0.61,,0.67,0.71
Russia,2003,65.131,13.6,11.40,8970.00,0.69,0.77,0.68,,0.71,0.74
Russia,2000,65.082,12.5,11.30,6650.00,0.69,0.73,0.63,,0.68,0.72
Russia,2002,65.005,13.2,11.40,7880.00,0.69,0.76,0.66,,0.70,0.73
Russia,2001,64.995,12.8,11.40,7260.00,0.69,0.74,0.65,,0.69,0.73
Romania,2018,75.92,14.26,10.98,23905.77,0.86,0.78,0.83,0.82,0.82,0.82
Romania,2017,75.79,14.3,11.00,26620.00,0.86,0.78,0.84,0.81,0.83,0.81
Romania,2016,75.644,14.3,11.00,23680.00,0.86,0.78,0.83,0.81,0.82,0.81
Romania,2015,75.476,14.5,10.90,21130.00,0.85,0.79,0.81,0.81,0.82,0.81
Romania,2014,75.272,14.5,10.90,20360.00,0.85,0.79,0.80,,0.81,0.80
Romania,2013,75.029,14.5,10.90,19370.00,0.85,0.79,0.80,0.80,0.81,0.80
Romania,2012,74.744,14.4,10.90,18600.00,0.84,0.78,0.79,,0.80,0.80
Romania,2011,74.42,15,10.80,17610.00,0.84,0.80,0.78,,0.81,0.80
Romania,2010,74.066,15.4,10.70,16720.00,0.83,0.81,0.77,0.80,0.80,0.80
Romania,2009,73.695,15.6,10.60,16400.00,0.83,0.81,0.77,,0.80,0.80
Romania,2008,73.322,15.3,10.60,16360.00,0.82,0.80,0.77,,0.80,0.80
Romania,2007,72.956,14.6,10.50,13240.00,0.81,0.78,0.74,,0.78,0.78
Romania,2006,72.605,14,10.30,11160.00,0.81,0.75,0.71,,0.76,0.77
Romania,2005,72.262,13.7,10.10,9320.00,0.80,0.74,0.68,,0.74,0.76
Romania,2004,71.917,13.4,9.90,8600.00,0.80,0.72,0.67,,0.73,0.75
Romania,2003,71.561,12.9,9.70,7380.00,0.79,0.70,0.65,,0.71,0.73
Romania,2002,71.194,12.5,9.60,7090.00,0.79,0.68,0.64,,0.70,0.72
Romania,2001,70.824,12,9.70,6480.00,0.78,0.67,0.63,,0.69,0.72
Romania,2000,70.470,11.7,9.90,5810.00,0.78,0.67,0.61,,0.68,0.71
Romania,1999,70.155,11.5,9.80,5530.00,0.77,0.66,0.61,,0.67,0.70
Romania,1998,69.898,11.1,9.70,5480.00,0.77,0.64,0.60,,0.67,0.70
Romania,1997,69.708,11,9.70,5510.00,0.76,0.64,0.61,,0.67,0.70
Romania,1996,69.587,10.8,9.60,5690.00,0.76,0.63,0.61,,0.66,0.70
Romania,1991,69.535,11,9.10,4790.00,0.76,0.62,0.58,,0.65,0.69
Romania,1990,69.535,11.9,9.05,5250.00,0.76,0.65,0.60,,0.67,0.70
Romania,1992,69.528,10.5,9.20,4490.00,0.76,0.61,0.57,,0.64,0.68
Romania,1995,69.526,10.4,9.50,5380.00,0.76,0.61,0.60,,0.65,0.69
Romania,1993,69.517,10.3,9.30,4660.00,0.76,0.60,0.58,,0.64,0.68
Romania,1994,69.510,10.2,9.40,4960.00,0.76,0.60,0.59,,0.65,0.68
Qatar,2018,80.10,12.18,9.67,110488.74,0.92,0.67,1.06,0.85,0.87,0.85
Qatar,2017,79.981,13.4,9.80,94820.00,0.92,0.72,1.04,0.85,0.88,0.86
Qatar,2016,79.868,13.4,9.80,81640.00,0.92,0.72,1.01,0.85,0.88,0.86
Qatar,2015,79.758,13.4,9.80,90110.00,0.92,0.72,1.03,0.85,0.88,0.85
Qatar,2014,79.646,13.4,9.80,123090.00,0.92,0.72,1.07,,0.89,0.85
Qatar,2013,79.527,13.4,9.90,129930.00,0.92,0.72,1.08,0.86,0.89,0.85
Qatar,2012,79.399,13.4,9.20,131510.00,0.91,0.70,1.08,,0.89,0.84
Qatar,2011,79.26,13.4,8.70,128340.00,0.91,0.69,1.08,,0.88,0.84
Qatar,2010,79.108,12.8,8.40,118390.00,0.91,0.66,1.07,0.83,0.86,0.83
Qatar,2009,78.945,12.5,9.20,110640.00,0.91,0.67,1.06,,0.86,0.83
Qatar,2008,78.775,12.3,9.70,117680.00,0.90,0.68,1.07,,0.87,0.84
Qatar,2007,78.601,12,9.60,116350.00,0.90,0.67,1.07,,0.86,0.83
Qatar,2006,78.425,12.3,9.20,114330.00,0.90,0.67,1.06,,0.86,0.83
Qatar,2005,78.252,13.1,8.80,95760.00,0.90,0.68,1.04,,0.86,0.83
Qatar,2004,78.083,13.2,8.40,105810.00,0.89,0.67,1.05,,0.86,0.83
Qatar,2003,77.919,13.2,8.20,100940.00,0.89,0.67,1.04,,0.85,0.82
Qatar,2002,77.762,12.8,8.10,98680.00,0.89,0.65,1.04,,0.84,0.82
Qatar,2001,77.612,12.6,8.00,95060.00,0.89,0.64,1.04,,0.84,0.81
Qatar,2000,77.467,12.6,7.90,89190.00,0.88,0.64,1.03,,0.83,0.81
Qatar,1999,77.327,13,7.50,,0.88,0.64,,,,0.81
Qatar,1998,77.190,13.2,7.10,,0.88,0.64,,,,0.80
Qatar,1997,77.052,13.4,6.70,,0.88,0.63,,,,0.80
Qatar,1996,76.909,13.6,6.30,,0.88,0.63,,,,0.80
Qatar,1995,76.759,13.1,5.90,,0.87,0.60,,,,0.78
Qatar,1994,76.599,12.6,5.80,,0.87,0.58,,,,0.78
Qatar,1993,76.427,11.9,5.70,,0.87,0.56,,,,0.76
Qatar,1992,76.241,11.3,5.60,,0.87,0.53,,,,0.75
Qatar,1991,76.041,11.5,5.50,,0.86,0.54,,,,0.75
Qatar,1990,75.824,11.8,5.38,,0.86,0.54,,,,0.75
Portugal,2018,81.86,16.30,9.19,27935.38,0.95,0.80,0.85,0.85,0.86,0.85
Portugal,2017,81.655,16.3,9.20,32310.00,0.95,0.80,0.87,0.85,0.87,0.85
Portugal,2016,81.444,16.3,9.20,30840.00,0.95,0.80,0.87,0.85,0.87,0.85
Portugal,2015,81.224,16.4,9.10,28870.00,0.94,0.80,0.86,0.84,0.86,0.84
Portugal,2014,80.995,16.4,8.90,28150.00,0.94,0.79,0.85,,0.86,0.84
Portugal,2013,80.758,16.7,8.60,27560.00,0.93,0.80,0.85,0.84,0.86,0.84
Portugal,2012,80.513,16.2,8.50,25810.00,0.93,0.78,0.84,,0.85,0.83
Portugal,2011,80.26,16.1,8.30,26340.00,0.93,0.77,0.84,,0.84,0.83
Portugal,2010,79.995,16,8.10,26410.00,0.92,0.76,0.84,0.82,0.84,0.82
Portugal,2009,79.716,15.9,7.90,25600.00,0.92,0.75,0.84,,0.83,0.82
Portugal,2008,79.421,15.9,7.80,25770.00,0.91,0.75,0.84,,0.83,0.81
Portugal,2007,79.11,15.7,7.70,24970.00,0.91,0.74,0.83,,0.82,0.81
Portugal,2006,78.786,15.3,7.60,23950.00,0.90,0.72,0.83,,0.81,0.80
Portugal,2005,78.451,15.3,7.50,22420.00,0.90,0.72,0.82,,0.81,0.80
Portugal,2004,78.107,15.3,7.40,21190.00,0.89,0.72,0.81,,0.80,0.80
Portugal,2003,77.759,15.8,7.20,20620.00,0.89,0.73,0.80,,0.80,0.80
Portugal,2002,77.413,15.7,7.00,20050.00,0.88,0.72,0.80,,0.80,0.79
Portugal,2001,77.075,15.8,6.90,19200.00,0.88,0.72,0.79,,0.79,0.79
Portugal,2000,76.749,15.6,6.80,18580.00,0.87,0.71,0.79,,0.79,0.79
Portugal,1999,76.440,15.4,6.70,17660.00,0.87,0.70,0.78,,0.78,0.78
Portugal,1998,76.150,15.8,6.70,16640.00,0.86,0.71,0.77,,0.78,0.78
Portugal,1997,75.878,15.7,6.50,15760.00,0.86,0.70,0.76,,0.77,0.77
Portugal,1996,75.627,15.4,6.50,14980.00,0.86,0.69,0.76,,0.77,0.77
Portugal,1995,75.397,15,6.40,14490.00,0.85,0.68,0.75,,0.76,0.76
Portugal,1994,75.192,14.7,6.40,13590.00,0.85,0.67,0.74,,0.75,0.75
Portugal,1993,75.006,14.2,6.40,13270.00,0.85,0.65,0.74,,0.74,0.75
Portugal,1992,74.835,13.1,6.30,13240.00,0.84,0.61,0.74,,0.72,0.73
Portugal,1991,74.670,12.3,6.30,12740.00,0.84,0.59,0.73,,0.71,0.72
Portugal,1990,74.504,11.8,5.25,11750.00,0.84,0.54,0.72,,0.69,0.71
Poland,2018,78.54,16.43,12.29,27625.80,0.90,0.89,0.85,0.87,0.88,0.87
Poland,2017,78.338,16.4,12.30,28900.00,0.90,0.89,0.86,0.87,0.88,0.87
Poland,2016,78.11,16.4,12.20,27170.00,0.89,0.89,0.85,0.86,0.88,0.86
Poland,2015,77.859,16.1,12.10,25880.00,0.89,0.87,0.84,0.86,0.87,0.86
Poland,2014,77.582,16,11.30,24670.00,0.89,0.85,0.83,,0.85,0.84
Poland,2013,77.282,16.3,12.10,23890.00,0.88,0.88,0.83,0.85,0.86,0.85
Poland,2012,76.968,15.3,11.70,22940.00,0.88,0.84,0.82,,0.84,0.84
Poland,2011,76.647,15.2,12.30,22030.00,0.87,0.85,0.81,,0.84,0.84
Poland,2010,76.33,15.3,12.20,20310.00,0.87,0.85,0.80,0.84,0.84,0.84
Poland,2009,76.034,15.1,12.10,18680.00,0.86,0.84,0.79,,0.83,0.83
Poland,2008,75.765,15,11.90,17990.00,0.86,0.83,0.78,,0.82,0.82
Poland,2007,75.523,15,11.80,16220.00,0.85,0.83,0.77,,0.82,0.82
Poland,2006,75.306,15,11.70,14820.00,0.85,0.83,0.76,,0.81,0.81
Poland,2005,75.099,15,11.60,13650.00,0.85,0.82,0.74,,0.80,0.81
Poland,2004,74.884,14.8,11.60,12920.00,0.84,0.82,0.73,,0.80,0.80
Poland,2003,74.644,15.5,11.50,12140.00,0.84,0.84,0.72,,0.80,0.80
Poland,2002,74.367,15.3,11.40,11740.00,0.84,0.83,0.72,,0.79,0.80
Poland,2001,74.052,15,11.10,11070.00,0.83,0.81,0.71,,0.78,0.79
Poland,2000,73.700,14.7,11.10,10610.00,0.83,0.80,0.70,,0.77,0.79
Poland,1999,73.318,14.6,10.90,9960.00,0.82,0.79,0.70,,0.77,0.78
Poland,1998,72.923,14.2,10.80,9410.00,0.81,0.77,0.69,,0.76,0.77
Poland,1997,72.535,13.8,10.70,8860.00,0.81,0.76,0.68,,0.75,0.76
Poland,1996,72.164,13.3,10.60,8190.00,0.80,0.74,0.67,,0.73,0.75
Poland,1995,71.827,13.1,10.50,7560.00,0.80,0.73,0.65,,0.72,0.74
Poland,1994,71.533,13.1,10.40,6960.00,0.79,0.73,0.64,,0.72,0.73
Poland,1993,71.285,12.9,10.20,6310.00,0.79,0.71,0.63,,0.71,0.73
Poland,1992,71.084,12.3,10.10,5920.00,0.79,0.69,0.62,,0.69,0.71
Poland,1991,70.930,12.3,9.90,5720.00,0.78,0.69,0.61,,0.69,0.71
Poland,1990,70.823,12.2,8.96,,0.78,0.66,,,,0.71
Philippines,2018,71.10,12.72,9.39,9539.70,0.79,0.69,0.69,0.71,0.72,0.71
Philippines,2017,70.952,12.6,9.30,9320.00,0.78,0.68,0.68,0.71,0.71,0.70
Philippines,2016,70.802,12.6,9.30,8870.00,0.78,0.68,0.68,0.70,0.71,0.70
Philippines,2015,70.644,12.6,9.30,8310.00,0.78,0.68,0.67,0.70,0.71,0.69
Philippines,2014,70.481,12.6,9.20,8070.00,0.78,0.68,0.66,,0.70,0.69
Philippines,2013,70.315,12.6,9.10,7700.00,0.77,0.67,0.66,0.69,0.70,0.69
Philippines,2012,70.149,12.3,9.10,7250.00,0.77,0.66,0.65,,0.69,0.68
Philippines,2011,69.984,12,9.00,6720.00,0.77,0.65,0.64,,0.68,0.67
Philippines,2010,69.823,11.7,8.90,6500.00,0.77,0.64,0.63,0.67,0.68,0.67
Philippines,2009,69.667,11.4,9.00,6110.00,0.76,0.63,0.62,,0.67,0.66
Philippines,2008,69.515,11.7,9.00,5900.00,0.76,0.64,0.62,,0.67,0.66
Philippines,2007,69.37,11.5,8.90,5630.00,0.76,0.63,0.61,,0.66,0.66
Philippines,2006,69.233,11.4,8.80,5270.00,0.76,0.62,0.60,,0.66,0.65
Philippines,2005,69.112,11.5,8.70,4980.00,0.76,0.63,0.59,,0.65,0.65
Philippines,2004,69.013,11.6,8.60,4670.00,0.75,0.63,0.58,,0.65,0.65
Philippines,2003,68.937,11.6,8.00,4350.00,0.75,0.61,0.57,,0.64,0.64
Philippines,2002,68.880,11.6,7.90,4170.00,0.75,0.61,0.56,,0.64,0.63
Philippines,2001,68.835,11.4,7.70,4030.00,0.75,0.59,0.56,,0.63,0.63
Philippines,2000,68.793,11.4,7.60,3890.00,0.75,0.59,0.55,,0.63,0.62
Philippines,1999,68.744,11.4,7.50,3610.00,0.75,0.59,0.54,,0.62,0.62
Philippines,1998,68.675,11.1,7.40,3550.00,0.75,0.58,0.54,,0.61,0.62
Philippines,1997,68.574,11.1,7.30,3010.00,0.75,0.57,0.51,,0.60,0.61
Philippines,1996,68.431,11.1,7.20,2830.00,0.75,0.57,0.50,,0.60,0.61
Philippines,1995,68.231,10.8,7.10,2670.00,0.74,0.56,0.50,,0.59,0.60
Philippines,1994,67.962,10.8,7.00,2550.00,0.74,0.55,0.49,,0.58,0.60
Philippines,1993,67.628,10.8,6.90,2420.00,0.73,0.55,0.48,,0.58,0.59
Philippines,1992,67.239,10.8,6.80,2350.00,0.73,0.55,0.48,,0.58,0.59
Philippines,1991,66.811,10.8,6.70,2310.00,0.72,0.55,0.47,,0.57,0.59
Philippines,1990,66.366,10.8,6.59,2280.00,0.71,0.54,0.47,,0.57,0.59
Peru,2018,76.52,13.85,9.22,12322.66,0.87,0.72,0.73,0.76,0.77,0.76
Peru,2017,76.286,13.8,9.20,11930.00,0.87,0.72,0.72,0.76,0.76,0.75
Peru,2016,76.044,13.8,9.20,11510.00,0.86,0.72,0.72,0.75,0.76,0.75
Peru,2015,75.792,13.8,9.10,11180.00,0.86,0.71,0.71,0.75,0.76,0.75
Peru,2014,75.529,13.7,9.40,10990.00,0.85,0.72,0.71,,0.76,0.75
Peru,2013,75.258,13.7,8.80,10720.00,0.85,0.70,0.71,0.74,0.75,0.74
Peru,2012,74.981,13.6,8.60,10090.00,0.85,0.69,0.70,,0.74,0.73
Peru,2011,74.697,13.5,9.10,9700.00,0.84,0.70,0.69,,0.74,0.73
Peru,2010,74.41,13.4,8.40,9020.00,0.84,0.68,0.68,0.72,0.73,0.72
Peru,2009,74.12,13.6,8.40,8390.00,0.83,0.69,0.67,,0.73,0.72
Peru,2008,73.826,13.4,8.40,8250.00,0.83,0.68,0.67,,0.72,0.71
Peru,2007,73.528,13.4,8.10,7410.00,0.82,0.67,0.65,,0.71,0.70
Peru,2006,73.222,13.2,8.10,6680.00,0.82,0.67,0.63,,0.70,0.70
Peru,2005,72.908,13,8.70,6200.00,0.81,0.68,0.62,,0.70,0.70
Peru,2004,72.581,13,8.60,5780.00,0.81,0.67,0.61,,0.69,0.69
Peru,2003,72.24,12.8,8.40,5520.00,0.80,0.66,0.61,,0.68,0.69
Peru,2002,71.882,13.3,8.30,5310.00,0.80,0.67,0.60,,0.69,0.69
Peru,2001,71.505,13.9,8.10,5040.00,0.79,0.69,0.59,,0.69,0.69
Peru,2000,71.111,13.4,8.00,4930.00,0.79,0.67,0.59,,0.68,0.68
Peru,1999,70.700,13.5,7.80,4790.00,0.78,0.67,0.58,,0.67,0.68
Peru,1998,70.274,12.8,7.70,4730.00,0.77,0.64,0.58,,0.66,0.67
Peru,1997,69.834,12.2,7.50,4730.00,0.77,0.62,0.58,,0.65,0.65
Peru,1996,69.378,12.2,7.40,4440.00,0.76,0.61,0.57,,0.64,0.65
Peru,1995,68.903,12.2,7.30,4260.00,0.75,0.61,0.57,,0.64,0.64
Peru,1994,68.405,11.9,7.10,3970.00,0.74,0.59,0.56,,0.63,0.63
Peru,1993,67.880,11.7,7.00,3550.00,0.74,0.58,0.54,,0.61,0.62
Peru,1992,67.330,11.7,6.90,3370.00,0.73,0.58,0.53,,0.61,0.62
Peru,1991,66.757,11.9,6.70,3390.00,0.72,0.58,0.53,,0.61,0.62
Peru,1990,66.165,11.9,6.52,3160.00,0.71,0.58,0.52,,0.60,0.61
Paraguay,2018,74.13,12.69,8.45,11719.96,0.83,0.66,0.72,0.72,0.73,0.72
Paraguay,2017,73.992,12.7,8.40,12210.00,0.83,0.66,0.73,0.72,0.73,0.70
Paraguay,2016,73.836,12.7,8.40,11540.00,0.83,0.66,0.72,0.72,0.73,0.70
Paraguay,2015,73.662,12.7,8.50,11040.00,0.83,0.66,0.71,0.72,0.73,0.70
Paraguay,2014,73.473,12.8,8.20,11010.00,0.82,0.65,0.71,,0.73,0.70
Paraguay,2013,73.274,12.7,8.30,10650.00,0.82,0.65,0.71,0.71,0.72,0.70
Paraguay,2012,73.068,12.6,7.80,9590.00,0.82,0.64,0.69,,0.71,0.68
Paraguay,2011,72.86,12.4,7.80,10130.00,0.81,0.63,0.70,,0.71,0.68
Paraguay,2010,72.653,12.3,7.70,9520.00,0.81,0.62,0.69,0.69,0.70,0.68
Paraguay,2009,72.45,12.4,7.00,8580.00,0.81,0.61,0.67,,0.69,0.66
Paraguay,2008,72.251,12.1,7.40,8680.00,0.80,0.61,0.67,,0.69,0.66
Paraguay,2007,72.055,11.9,7.10,8020.00,0.80,0.59,0.66,,0.68,0.66
Paraguay,2006,71.862,12,7.10,7180.00,0.80,0.60,0.65,,0.68,0.65
Paraguay,2005,71.667,12.1,7.30,6530.00,0.79,0.61,0.63,,0.67,0.65
Paraguay,2004,71.464,12.3,7.10,6260.00,0.79,0.61,0.62,,0.67,0.65
Paraguay,2003,71.249,12.1,7.00,5850.00,0.79,0.60,0.61,,0.66,0.64
Paraguay,2002,71.023,12.7,6.50,6040.00,0.78,0.60,0.62,,0.66,0.64
Paraguay,2001,70.786,12.2,6.20,5890.00,0.78,0.58,0.62,,0.65,0.63
